category,value,count
artists,Allan Stephenson,6
artists,Andrew Leicester,6
artists,Ann Morris,6
artists,Anne Patterson,6
artists,Anthony Wylen,6
artists,Archie Held,6
artists,Brian Goldbloom,6
artists,Armando Silva,6
artists,Barbara Cooper,6
artists,Barbara Earl Thomas,6
artists,Barbara Smolen,6
artists,Benito Huerta,6
artists,Bernadette Little,6
artists,Bernardo Flores-Sahagun,6
artists,Beth Clevenstine,6
artists,Bobby Abrahamson,6
artists,Bobby Fouther,6
artists,Brad Kaspari,6
artists,DeWitt Godfrey,6
artists,Benjamin Victor,6
artists,Deborah DeWit,6
artists,Jamee Grigsby,6
artists,Jason Sanchez,6
artists,Jeanine Centuori,6
artists,Jeff Zischke,6
artists,Jill Bedgood,6
artists,Jill Turman,6
artists,Jim Shull,6
artists,Joan Colomer Valls,6
artists,Joe Boruchow,6
artists,Joel A. Heidel,6
artists,John Banks,6
artists,John Boak,6
artists,John Buck,6
artists,John Fleming,6
artists,John Hess,6
artists,Jomau,6
artists,Jonnel Covault,6
artists,Jorge Blanco,6
artists,Joshua Goss,6
artists,Juanjo Surace,6
artists,Judith Cherry,6
artists,Jun Kaneko,6
artists,Justin Curtis Ermer Lacche,6
artists,Ka'ila Farrell-Smith,6
artists,Dee Briggs,6
artists,Karen Kunc,6
artists,James Henderson,6
artists,Jonathan Borofsky,6
artists,Jackie Chang,6
artists,Frank Matranga,6
artists,Devin Laurence Field,6
artists,Dianne Duenzl,6
artists,Huameng Yu,6
artists,Dora De Larios,6
artists,Dorie Hagler,6
artists,Ebonee Atkins,6
artists,Elaine Calzolari,6
artists,Ellen Ziegler,6
artists,Eric Vozzola,6
artists,Erica Karawina,6
artists,"Erik Carlson, AREA C Projects",6
artists,Evan Dent,6
artists,Ed Haddaway,6
artists,Fritz White,6
artists,Hon-Chew Hee,6
artists,Genevieve Esson,6
artists,Herman Sodersten,6
artists,Harry I. Thompson,6
artists,Gifford Myers,6
artists,Gregory Kondos,6
artists,Gerald Heffernon,6
artists,George Rhoads,6
artists,George D. Green,6
artists,Helen Seebold,6
artists,Martha Pfanschmidt,5
artists,Mark Bulwinkle,5
artists,Marne Lucas,5
artists,Mark White,5
artists,Mary Block,5
artists,Mark Rivera,5
artists,Mark Lere,5
artists,Marcus Balum,5
artists,Mark Aeling,5
artists,Mariano Corda,5
artists,Margaret Lazzari,5
artists,Marcelo Fontana,5
artists,Manuel Carrillo,5
